,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_s,explicit,virality
0,0.504,0.386,11,-10.976,1,0.502,1.53e-05,0.0961,0.281,192.004,228.965,0,1
1,0.604,0.428,0,-8.441,1,0.0483,0.0,0.126,0.292,110.259,293.048,1,1
2,0.596,0.563,0,-7.362,1,0.137,0.0,0.302,0.481,97.073,203.801,0,1
3,0.541,0.366,11,-10.412,1,0.56,1e-06,0.0946,0.168,159.707,261.228,1,1
4,0.423,0.533,9,-11.388,1,0.73,0.00264,0.0816,0.248,160.218,262.974,0,1
5,0.521,0.72,4,-7.684,1,0.384,0.0,0.135,0.438,79.943,340.428,1,1
6,0.33,0.483,9,-9.394,1,0.624,0.0,0.111,0.34,87.115,210.789,0,1
7,0.533,0.573,0,-7.123,1,0.178,0.0,0.309,0.398,150.088,215.463,1,1
8,0.626,0.428,2,-8.374,1,0.607,0.0,0.0921,0.487,94.95,254.365,0,1
9,0.606,0.338,0,-10.555,1,0.315,0.0,0.106,0.238,119.88,334.084,0,1
10,0.661,0.257,6,-13.961,0,0.768,1.72e-06,0.176,0.318,106.896,156.297,0,1
11,0.423,0.272,0,-12.56,1,0.858,0.0,0.108,0.195,78.539,277.156,1,1
12,0.701,0.751,0,-8.39,1,0.123,0.0,0.15,0.22,129.994,218.004,1,1
13,0.426,0.41,10,-9.083,1,0.52,0.0,0.338,0.263,142.377,245.541,1,1
14,0.64,0.421,0,-8.802,1,0.422,0.0,0.103,0.353,100.056,196.9,0,1
15,0.686,0.318,7,-11.046,1,0.636,0.00144,0.106,0.214,104.088,216.662,0,1
16,0.527,0.27,0,-10.855,1,0.707,0.0,0.102,0.23,154.042,238.857,1,1
17,0.784,0.391,9,-9.471,1,0.608,0.0,0.252,0.15,110.007,222.072,0,1
18,0.352,0.479,2,-8.942,1,0.655,0.0,0.0935,0.292,172.013,183.878,0,1
19,0.516,0.451,0,-8.552,1,0.78,0.0,0.105,0.218,70.266,213.281,0,1
20,0.504,0.386,11,-10.976,1,0.502,1.53e-05,0.0961,0.281,192.004,228.965,0,1
21,0.604,0.428,0,-8.441,1,0.0483,0.0,0.126,0.292,110.259,293.048,1,1
22,0.596,0.563,0,-7.362,1,0.137,0.0,0.302,0.481,97.073,203.801,0,1
23,0.541,0.366,11,-10.412,1,0.56,1e-06,0.0946,0.168,159.707,261.228,1,1
24,0.423,0.533,9,-11.388,1,0.73,0.00264,0.0816,0.248,160.218,262.974,0,1
25,0.521,0.72,4,-7.684,1,0.384,0.0,0.135,0.438,79.943,340.428,1,1
26,0.33,0.483,9,-9.394,1,0.624,0.0,0.111,0.34,87.115,210.789,0,1
27,0.533,0.573,0,-7.123,1,0.178,0.0,0.309,0.398,150.088,215.463,1,1
28,0.626,0.428,2,-8.374,1,0.607,0.0,0.0921,0.487,94.95,254.365,0,1
29,0.606,0.338,0,-10.555,1,0.315,0.0,0.106,0.238,119.88,334.084,0,1
30,0.661,0.257,6,-13.961,0,0.768,1.72e-06,0.176,0.318,106.896,156.297,0,1
31,0.423,0.272,0,-12.56,1,0.858,0.0,0.108,0.195,78.539,277.156,1,1
32,0.701,0.751,0,-8.39,1,0.123,0.0,0.15,0.22,129.994,218.004,1,1
33,0.426,0.41,10,-9.083,1,0.52,0.0,0.338,0.263,142.377,245.541,1,1
34,0.64,0.421,0,-8.802,1,0.422,0.0,0.103,0.353,100.056,196.9,0,1
35,0.686,0.318,7,-11.046,1,0.636,0.00144,0.106,0.214,104.088,216.662,0,1
36,0.52,0.553,8,-3.546,1,0.016,0.0,0.165,0.227,81.949,353.253,0,1
37,0.633,0.648,4,-6.645,1,0.121,2.62e-06,0.161,0.49,96.888,200.69,0,1
38,0.64,0.619,8,-7.108,1,0.062,0.0,0.475,0.121,90.008,204.852,1,1
39,0.633,0.648,4,-6.645,1,0.121,2.62e-06,0.161,0.49,96.888,200.69,0,1
40,0.64,0.619,8,-7.108,1,0.062,0.0,0.475,0.121,90.008,204.852,1,1
41,0.633,0.648,4,-6.645,1,0.121,2.62e-06,0.161,0.49,96.888,200.69,0,1
42,0.64,0.619,8,-7.108,1,0.062,0.0,0.475,0.121,90.008,204.852,1,1
43,0.44,0.528,0,-7.809,1,0.0171,0.00203,0.234,0.132,185.972,329.16,0,1
44,0.632,0.773,6,-4.856,1,0.0623,0.0,0.0885,0.474,130.033,231.124,0,1
45,0.612,0.58,0,-8.572,0,0.525,0.000414,0.26,0.534,130.045,239.56,0,1
46,0.387,0.634,5,-9.222,1,0.553,6.93e-05,0.0931,0.42,89.567,261.92,0,1
47,0.612,0.58,0,-8.572,0,0.525,0.000414,0.26,0.534,130.045,239.56,0,1
48,0.387,0.634,5,-9.222,1,0.553,6.93e-05,0.0931,0.42,89.567,261.92,0,1
49,0.613,0.581,0,-8.588,0,0.537,0.000345,0.25,0.551,130.033,239.56,0,1
50,0.532,0.623,5,-9.208,1,0.538,7.28e-05,0.0925,0.403,89.937,261.922,0,1
51,0.552,0.702,9,-5.707,1,0.117,2.06e-05,0.105,0.564,169.994,178.426,0,1
52,0.359,0.543,7,-7.582,1,0.492,1.58e-05,0.118,0.453,68.534,221.306,0,1
53,0.777,0.658,0,-5.191,1,0.0767,0.0,0.0901,0.633,110.048,190.36,0,1
54,0.771,0.671,2,-5.617,1,0.00929,0.0,0.0637,0.714,85.026,171.36,0,1
55,0.613,0.764,2,-6.509,1,0.0527,0.0,0.197,0.417,160.015,208.186,0,1
56,0.615,0.534,9,-6.719,0,0.106,1.76e-05,0.0607,0.193,135.917,236.413,0,1
57,0.75,0.404,9,-10.178,0,0.216,0.000357,0.0911,0.0499,95.045,232.253,0,1
58,0.766,0.709,9,-6.471,0,0.204,1.41e-05,0.126,0.506,128.07,211.853,0,1
59,0.463,0.605,0,-7.803,1,0.0448,0.000334,0.128,0.317,186.113,329.16,0,1
60,0.602,0.609,0,-7.803,1,0.0382,0.0002,0.127,0.337,93.06,327.893,0,1
61,0.602,0.609,0,-7.803,1,0.0382,0.0002,0.127,0.337,93.06,327.893,0,1
62,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352.186,0,1
63,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352.186,0,1
64,0.687,0.771,6,-4.424,1,0.164,2.46e-05,0.112,0.445,129.964,231.146,0,1
65,0.687,0.783,6,-4.44,1,0.162,1.35e-05,0.114,0.443,129.964,231.133,0,1
66,0.672,0.392,11,-10.671,1,0.524,7.99e-06,0.102,0.277,96.001,228.965,0,1
67,0.55,0.711,9,-5.733,1,0.133,1.11e-05,0.106,0.572,169.924,178.425,0,1
68,0.633,0.648,4,-6.645,1,0.121,2.62e-06,0.161,0.49,96.888,200.69,0,1
69,0.633,0.648,4,-6.645,1,0.121,2.62e-06,0.161,0.49,96.888,200.69,0,1
70,0.632,0.507,0,-8.928,1,0.293,0.0,0.0873,0.216,92.986,613.0,1,1
71,0.475,0.655,11,-7.342,0,0.0306,0.0,0.375,0.245,163.997,247.444,1,1
72,0.673,0.672,8,-8.577,1,0.0466,0.000284,0.193,0.14,136.902,260.111,1,1
73,0.636,0.729,2,-4.495,1,0.0458,0.0,0.384,0.141,146.009,319.191,1,1
74,0.475,0.655,11,-7.342,0,0.0306,0.0,0.375,0.245,163.997,247.444,1,1
75,0.673,0.672,8,-8.577,1,0.0466,0.000284,0.193,0.14,136.902,260.111,1,1
76,0.636,0.729,2,-4.495,1,0.0458,0.0,0.384,0.141,146.009,319.191,1,1
77,0.529,0.673,0,-4.711,1,0.000307,2.41e-06,0.093,0.366,165.921,218.364,1,1
78,0.666,0.465,1,-8.545,1,0.0503,0.0,0.215,0.292,167.937,291.175,1,1
79,0.809,0.463,11,-11.377,1,0.256,0.085,0.109,0.364,111.98,298.94,1,1
80,0.792,0.625,1,-5.609,1,0.00776,0.0018,0.329,0.37,103.967,173.986,0,1
81,0.527,0.492,1,-9.774,1,0.0047,0.0,0.306,0.234,164.005,456.933,1,1
82,0.598,0.696,2,-4.789,1,0.0153,0.0,0.219,0.209,91.057,232.774,1,1
83,0.251,0.252,9,-14.478,1,0.693,0.00706,0.0968,0.0395,69.988,219.733,0,1
84,0.893,0.4,11,-7.981,0,0.0452,0.0823,0.0632,0.945,124.987,179.586,0,1
85,0.7,0.425,7,-12.531,1,0.144,0.879,0.083,0.521,110.015,303.44,0,1
86,0.747,0.507,2,-10.171,1,0.2,0.0608,0.117,0.438,104.978,210.373,0,1
87,0.467,0.247,6,-12.002,0,0.612,0.000271,0.17,0.126,148.101,261.466,0,1
88,0.407,0.192,7,-10.99,1,0.637,3.33e-06,0.21,0.159,128.173,293.84,0,1
89,0.467,0.392,9,-9.355,1,0.2,0.0174,0.106,0.313,145.104,333.986,0,1
90,0.857,0.386,1,-9.761,1,0.243,0.0931,0.111,0.661,125.017,186.346,0,1
91,0.521,0.254,9,-14.409,0,0.815,0.884,0.114,0.153,125.021,298.44,0,1
92,0.349,0.337,7,-10.671,1,0.29,0.172,0.139,0.0365,142.01,343.12,0,1
93,0.332,0.225,0,-8.697,1,0.767,0.00349,0.128,0.297,81.055,298.899,1,1
94,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194.087,0,1
95,0.367,0.111,4,-14.084,1,0.978,3.97e-05,0.0897,0.198,82.642,196.077,0,1
