,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,explicit
0,0.612,0.52,7,-6.192,1,0.0353,0.173,0.0,0.0989,0.361,122.307,190869,3,0,1983-01-01,False
1,0.643,0.802,9,-5.066,1,0.145,0.375,0.0,0.328,0.729,137.76,143733,4,0,1997-06-04,False
2,0.773,0.43,9,-12.956,1,0.0329,0.636,0.0243,0.091,0.397,102.657,220333,4,0,2009-01-01,False
3,0.57,0.783,0,-8.428,1,0.041,0.677,6.88e-05,0.258,0.939,77.872,238947,4,0,2018-12-18,False
4,0.231,0.458,3,-10.334,1,0.0377,0.68,0.0,0.0931,0.0949,86.915,194867,3,0,2014-03-07,False
5,0.563,0.26,2,-5.857,1,0.039,0.52,0.0,0.146,0.617,145.561,226227,4,0,2023-06-02,False
6,0.541,0.691,5,-8.654,0,0.0805,0.564,9.74e-06,0.151,0.409,94.808,328053,4,5,1994-01-01,False
7,0.706,0.544,2,-7.275,1,0.0306,0.0273,0.0,0.087,0.477,115.935,177583,4,1,2022-10-28,True
8,0.746,0.908,1,-2.964,1,0.239,0.0631,0.0,0.301,0.78,139.938,193835,4,0,2021-04-24,False
9,0.531,0.419,2,-12.223,1,0.0302,0.849,0.331,0.11,0.443,167.261,286947,3,2,2018-01-11,False
10,0.472,0.879,9,-8.999,1,0.0757,0.00331,0.000168,0.853,0.623,134.721,271208,4,0,2006-08-31,False
11,0.438,0.358,0,-7.437,1,0.0324,0.966,4.16e-06,0.328,0.402,124.154,214126,3,2,2012-01-03,False
12,0.37,0.485,9,-9.25,0,0.0345,0.0294,0.146,0.201,0.146,118.138,347930,4,5,2018-01-16,False
13,0.37,0.485,9,-9.25,0,0.0345,0.0294,0.146,0.201,0.146,118.138,347930,4,5,2018-01-16,False
14,0.37,0.485,9,-9.25,0,0.0345,0.0294,0.146,0.201,0.146,118.138,347930,4,5,2018-01-16,False
15,0.37,0.485,9,-9.25,0,0.0345,0.0294,0.146,0.201,0.146,118.138,347930,4,5,2018-01-16,False
16,0.83,0.692,9,-7.555,0,0.0297,0.181,0.0,0.103,0.834,129.182,245120,4,3,2002-06-24,False
17,0.83,0.692,9,-7.555,0,0.0297,0.181,0.0,0.103,0.834,129.182,245120,4,3,2002-06-24,False
18,0.83,0.692,9,-7.555,0,0.0297,0.181,0.0,0.103,0.834,129.182,245120,4,3,2002-06-24,False
19,0.83,0.692,9,-7.555,0,0.0297,0.181,0.0,0.103,0.834,129.182,245120,4,3,2002-06-24,False
20,0.711,0.493,5,-6.991,1,0.0357,0.688,1.9e-05,0.0828,0.783,139.994,149234,4,57,2022-08-05,False
21,0.711,0.493,5,-6.991,1,0.0357,0.688,1.9e-05,0.0828,0.783,139.994,149234,4,57,2022-08-05,False
22,0.711,0.493,5,-6.991,1,0.0357,0.688,1.9e-05,0.0828,0.783,139.994,149234,4,57,2022-08-05,False
23,0.711,0.493,5,-6.991,1,0.0357,0.688,1.9e-05,0.0828,0.783,139.994,149234,4,57,2022-08-05,False
24,0.422,0.394,0,-11.622,1,0.0702,0.762,6.75e-05,0.0645,0.144,123.871,194625,4,26,2021-04-27,False
25,0.422,0.394,0,-11.622,1,0.0702,0.762,6.75e-05,0.0645,0.144,123.871,194625,4,26,2021-04-27,False
26,0.422,0.394,0,-11.622,1,0.0702,0.762,6.75e-05,0.0645,0.144,123.871,194625,4,26,2021-04-27,False
27,0.422,0.394,0,-11.622,1,0.0702,0.762,6.75e-05,0.0645,0.144,123.871,194625,4,26,2021-04-27,False
28,0.437,0.817,2,-9.147,1,0.0358,3.56e-05,0.627,0.403,0.0832,130.013,328730,4,5,2020-07-10,False
29,0.437,0.817,2,-9.147,1,0.0358,3.56e-05,0.627,0.403,0.0832,130.013,328730,4,5,2020-07-10,False
30,0.437,0.817,2,-9.147,1,0.0358,3.56e-05,0.627,0.403,0.0832,130.013,328730,4,5,2020-07-10,False
31,0.437,0.817,2,-9.147,1,0.0358,3.56e-05,0.627,0.403,0.0832,130.013,328730,4,5,2020-07-10,False
32,0.398,0.633,2,-10.423,1,0.0456,0.703,0.0,0.185,0.843,164.129,324232,3,0,2013-05-21,False
33,0.344,0.501,5,-8.239,0,0.036,0.819,0.00066,0.121,0.273,99.946,273253,4,4,2001-06-02,False
34,0.344,0.501,5,-8.239,0,0.036,0.819,0.00066,0.121,0.273,99.946,273253,4,4,2001-06-02,False
35,0.344,0.501,5,-8.239,0,0.036,0.819,0.00066,0.121,0.273,99.946,273253,4,4,2001-06-02,False
36,0.344,0.501,5,-8.239,0,0.036,0.819,0.00066,0.121,0.273,99.946,273253,4,4,2001-06-02,False
37,0.629,0.949,5,-2.754,1,0.0464,0.203,0.0,0.45,0.96,170.035,149499,4,21,2020-09-10,False
38,0.629,0.949,5,-2.754,1,0.0464,0.203,0.0,0.45,0.96,170.035,149499,4,21,2020-09-10,False
39,0.629,0.949,5,-2.754,1,0.0464,0.203,0.0,0.45,0.96,170.035,149499,4,21,2020-09-10,False
40,0.629,0.949,5,-2.754,1,0.0464,0.203,0.0,0.45,0.96,170.035,149499,4,21,2020-09-10,False
41,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,215107,4,5,2023-08-03,False
42,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,215107,4,5,2023-08-03,False
43,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,215107,4,5,2023-08-03,False
44,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,215107,4,5,2023-08-03,False
45,0.831,0.718,6,-6.692,1,0.266,0.147,0.0,0.289,0.669,96.329,255853,4,4,2005-07-04,False
46,0.831,0.718,6,-6.692,1,0.266,0.147,0.0,0.289,0.669,96.329,255853,4,4,2005-07-04,False
47,0.831,0.718,6,-6.692,1,0.266,0.147,0.0,0.289,0.669,96.329,255853,4,4,2005-07-04,False
48,0.831,0.718,6,-6.692,1,0.266,0.147,0.0,0.289,0.669,96.329,255853,4,4,2005-07-04,False
49,0.583,0.817,9,-6.419,0,0.0353,0.137,0.0,0.327,0.684,120.975,191120,4,0,2018-07-10,False
50,0.844,0.879,11,-6.085,0,0.129,0.0292,0.234,0.069,0.833,118.003,328680,4,0,2014-05-28,True
51,0.537,0.493,0,-12.357,1,0.0272,0.392,0.0,0.354,0.696,88.816,220819,4,0,1995-10-07,False
52,0.561,0.463,9,-12.947,1,0.0412,0.416,0.0,0.0865,0.62,96.025,307827,4,0,1990-06-25,False
53,0.272,0.0517,4,-24.288,0,0.0437,0.976,0.0503,0.196,0.386,109.999,194867,4,0,1997-01-01,False
54,0.272,0.0517,4,-24.288,0,0.0437,0.976,0.0503,0.196,0.386,109.999,194867,4,0,1997-01-01,False
55,0.272,0.0517,4,-24.288,0,0.0437,0.976,0.0503,0.196,0.386,109.999,194867,4,0,1997-01-01,False
56,0.272,0.0517,4,-24.288,0,0.0437,0.976,0.0503,0.196,0.386,109.999,194867,4,0,1997-01-01,False
57,0.538,0.701,9,-9.471,1,0.0412,0.103,5.39e-05,0.183,0.394,186.266,276558,4,1,2005-12-22,False
58,0.538,0.701,9,-9.471,1,0.0412,0.103,5.39e-05,0.183,0.394,186.266,276558,4,1,2005-12-22,False
59,0.538,0.701,9,-9.471,1,0.0412,0.103,5.39e-05,0.183,0.394,186.266,276558,4,1,2005-12-22,False
60,0.538,0.701,9,-9.471,1,0.0412,0.103,5.39e-05,0.183,0.394,186.266,276558,4,1,2005-12-22,False
61,0.625,0.741,0,-6.818,0,0.0489,0.00918,0.0,0.2,0.212,105.979,226629,4,0,2022-02-24,False
62,0.625,0.741,0,-6.818,0,0.0489,0.00918,0.0,0.2,0.212,105.979,226629,4,0,2022-02-24,False
63,0.625,0.741,0,-6.818,0,0.0489,0.00918,0.0,0.2,0.212,105.979,226629,4,0,2022-02-24,False
64,0.625,0.741,0,-6.818,0,0.0489,0.00918,0.0,0.2,0.212,105.979,226629,4,0,2022-02-24,False
65,0.341,0.263,11,-10.027,0,0.0285,0.43,0.0,0.284,0.477,152.938,231227,3,4,2007-05-31,False
66,0.341,0.263,11,-10.027,0,0.0285,0.43,0.0,0.284,0.477,152.938,231227,3,4,2007-05-31,False
67,0.341,0.263,11,-10.027,0,0.0285,0.43,0.0,0.284,0.477,152.938,231227,3,4,2007-05-31,False
68,0.341,0.263,11,-10.027,0,0.0285,0.43,0.0,0.284,0.477,152.938,231227,3,4,2007-05-31,False
69,0.32,0.61,10,-7.229,1,0.0324,0.0383,0.000695,0.237,0.143,99.003,240000,3,44,2015-10-23,False
70,0.32,0.61,10,-7.229,1,0.0324,0.0383,0.000695,0.237,0.143,99.003,240000,3,44,2015-10-23,False
71,0.32,0.61,10,-7.229,1,0.0324,0.0383,0.000695,0.237,0.143,99.003,240000,3,44,2015-10-23,False
72,0.32,0.61,10,-7.229,1,0.0324,0.0383,0.000695,0.237,0.143,99.003,240000,3,44,2015-10-23,False
73,0.152,0.759,7,-3.292,1,0.0431,0.0522,3.35e-05,0.973,0.265,85.058,311309,4,0,2009-04-08,False
74,0.152,0.759,7,-3.292,1,0.0431,0.0522,3.35e-05,0.973,0.265,85.058,311309,4,0,2009-04-08,False
75,0.152,0.759,7,-3.292,1,0.0431,0.0522,3.35e-05,0.973,0.265,85.058,311309,4,0,2009-04-08,False
76,0.152,0.759,7,-3.292,1,0.0431,0.0522,3.35e-05,0.973,0.265,85.058,311309,4,0,2009-04-08,False
77,0.274,0.543,10,-9.689,1,0.0344,0.593,0.0,0.711,0.733,184.783,136652,3,0,1975-05-28,False
78,0.274,0.543,10,-9.689,1,0.0344,0.593,0.0,0.711,0.733,184.783,136652,3,0,1975-05-28,False
79,0.274,0.543,10,-9.689,1,0.0344,0.593,0.0,0.711,0.733,184.783,136652,3,0,1975-05-28,False
80,0.274,0.543,10,-9.689,1,0.0344,0.593,0.0,0.711,0.733,184.783,136652,3,0,1975-05-28,False
81,0.7,0.79,2,-9.019,1,0.0562,0.52,0.000403,0.0916,0.667,119.963,276187,4,0,2003-03-03,False
82,0.7,0.79,2,-9.019,1,0.0562,0.52,0.000403,0.0916,0.667,119.963,276187,4,0,2003-03-03,False
83,0.7,0.79,2,-9.019,1,0.0562,0.52,0.000403,0.0916,0.667,119.963,276187,4,0,2003-03-03,False
84,0.7,0.79,2,-9.019,1,0.0562,0.52,0.000403,0.0916,0.667,119.963,276187,4,0,2003-03-03,False
85,0.455,0.344,3,-12.462,0,0.0846,0.955,5.44e-05,0.741,0.187,128.566,243440,4,0,2009-11-09,False
86,0.455,0.344,3,-12.462,0,0.0846,0.955,5.44e-05,0.741,0.187,128.566,243440,4,0,2009-11-09,False
87,0.455,0.344,3,-12.462,0,0.0846,0.955,5.44e-05,0.741,0.187,128.566,243440,4,0,2009-11-09,False
88,0.455,0.344,3,-12.462,0,0.0846,0.955,5.44e-05,0.741,0.187,128.566,243440,4,0,2009-11-09,False
89,0.598,0.45,1,-16.695,1,0.0352,0.00432,0.0378,0.337,0.819,100.13,219730,4,0,1993-04-16,False
90,0.598,0.45,1,-16.695,1,0.0352,0.00432,0.0378,0.337,0.819,100.13,219730,4,0,1993-04-16,False
91,0.598,0.45,1,-16.695,1,0.0352,0.00432,0.0378,0.337,0.819,100.13,219730,4,0,1993-04-16,False
92,0.598,0.45,1,-16.695,1,0.0352,0.00432,0.0378,0.337,0.819,100.13,219730,4,0,1993-04-16,False
93,0.447,0.83,7,-8.807,0,0.0467,0.114,2.34e-06,0.0762,0.798,191.39,250053,3,10,2005-05-27,False
94,0.447,0.83,7,-8.807,0,0.0467,0.114,2.34e-06,0.0762,0.798,191.39,250053,3,10,2005-05-27,False
95,0.447,0.83,7,-8.807,0,0.0467,0.114,2.34e-06,0.0762,0.798,191.39,250053,3,10,2005-05-27,False
96,0.447,0.83,7,-8.807,0,0.0467,0.114,2.34e-06,0.0762,0.798,191.39,250053,3,10,2005-05-27,False
97,0.207,0.461,10,-11.182,1,0.0466,0.519,0.0335,0.105,0.374,179.732,148907,1,2,2013-06-14,False
