,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
0,Taylor Swift,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,95.0,228.965,0,0.504,0.386,11,1,0.281,192.004,-10.976,0.0961,1.53e-05,0.502,1
1,Taylor Swift,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,88.0,293.048,1,0.604,0.428,0,1,0.292,110.259,-8.441,0.126,0.0,0.0483,1
2,Taylor Swift,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,88.0,203.801,0,0.596,0.563,0,1,0.481,97.073,-7.362,0.302,0.0,0.137,1
3,Taylor Swift,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,90.0,261.228,1,0.541,0.366,11,1,0.168,159.707,-10.412,0.0946,1e-06,0.56,1
4,Taylor Swift,"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,89.0,262.974,0,0.423,0.533,9,1,0.248,160.218,-11.388,0.0816,0.00264,0.73,1
5,Taylor Swift,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,89.0,340.428,1,0.521,0.72,4,1,0.438,79.943,-7.684,0.135,0.0,0.384,1
6,Taylor Swift,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,86.0,210.789,0,0.33,0.483,9,1,0.34,87.115,-9.394,0.111,0.0,0.624,1
7,Taylor Swift,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,87.0,215.463,1,0.533,0.573,0,1,0.398,150.088,-7.123,0.309,0.0,0.178,1
8,Taylor Swift,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,89.0,254.365,0,0.626,0.428,2,1,0.487,94.95,-8.374,0.0921,0.0,0.607,1
9,Taylor Swift,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,89.0,334.084,0,0.606,0.338,0,1,0.238,119.88,-10.555,0.106,0.0,0.315,1
10,Taylor Swift,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,85.0,156.297,0,0.661,0.257,6,0,0.318,106.896,-13.961,0.176,1.72e-06,0.768,1
11,Taylor Swift,loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,87.0,277.156,1,0.423,0.272,0,1,0.195,78.539,-12.56,0.108,0.0,0.858,1
12,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,89.0,218.004,1,0.701,0.751,0,1,0.22,129.994,-8.39,0.15,0.0,0.123,1
13,Taylor Swift,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,88.0,245.541,1,0.426,0.41,10,1,0.263,142.377,-9.083,0.338,0.0,0.52,1
14,Taylor Swift,The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,86.0,196.9,0,0.64,0.421,0,1,0.353,100.056,-8.802,0.103,0.0,0.422,1
15,Taylor Swift,Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,85.0,216.662,0,0.686,0.318,7,1,0.214,104.088,-11.046,0.106,0.00144,0.636,1
16,Taylor Swift,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,87.0,238.857,1,0.527,0.27,0,1,0.23,154.042,-10.855,0.102,0.0,0.707,1
17,Taylor Swift,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,87.0,222.072,0,0.784,0.391,9,1,0.15,110.007,-9.471,0.252,0.0,0.608,1
18,Taylor Swift,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,85.0,183.878,0,0.352,0.479,2,1,0.292,172.013,-8.942,0.0935,0.0,0.655,1
19,Taylor Swift,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,85.0,213.281,0,0.516,0.451,0,1,0.218,70.266,-8.552,0.105,0.0,0.78,1
20,Taylor Swift,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,2024-04-18,95.0,228.965,0,0.504,0.386,11,1,0.281,192.004,-10.976,0.0961,1.53e-05,0.502,1
21,Taylor Swift,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,2024-04-18,88.0,293.048,1,0.604,0.428,0,1,0.292,110.259,-8.441,0.126,0.0,0.0483,1
22,Taylor Swift,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,2024-04-18,88.0,203.801,0,0.596,0.563,0,1,0.481,97.073,-7.362,0.302,0.0,0.137,1
23,Taylor Swift,Down Bad,THE TORTURED POETS DEPARTMENT,2024-04-18,90.0,261.228,1,0.541,0.366,11,1,0.168,159.707,-10.412,0.0946,1e-06,0.56,1
24,Taylor Swift,"So Long, London",THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,262.974,0,0.423,0.533,9,1,0.248,160.218,-11.388,0.0816,0.00264,0.73,1
25,Taylor Swift,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,340.428,1,0.521,0.72,4,1,0.438,79.943,-7.684,0.135,0.0,0.384,1
26,Taylor Swift,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,2024-04-18,86.0,210.789,0,0.33,0.483,9,1,0.34,87.115,-9.394,0.111,0.0,0.624,1
27,Taylor Swift,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,2024-04-18,87.0,215.463,1,0.533,0.573,0,1,0.398,150.088,-7.123,0.309,0.0,0.178,1
28,Taylor Swift,Guilty as Sin?,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,254.365,0,0.626,0.428,2,1,0.487,94.95,-8.374,0.0921,0.0,0.607,1
29,Taylor Swift,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,334.084,0,0.606,0.338,0,1,0.238,119.88,-10.555,0.106,0.0,0.315,1
30,Taylor Swift,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,2024-04-18,85.0,156.297,0,0.661,0.257,6,0,0.318,106.896,-13.961,0.176,1.72e-06,0.768,1
31,Taylor Swift,loml,THE TORTURED POETS DEPARTMENT,2024-04-18,87.0,277.156,1,0.423,0.272,0,1,0.195,78.539,-12.56,0.108,0.0,0.858,1
32,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,218.004,1,0.701,0.751,0,1,0.22,129.994,-8.39,0.15,0.0,0.123,1
33,Taylor Swift,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,2024-04-18,88.0,245.541,1,0.426,0.41,10,1,0.263,142.377,-9.083,0.338,0.0,0.52,1
34,Taylor Swift,The Alchemy,THE TORTURED POETS DEPARTMENT,2024-04-18,86.0,196.9,0,0.64,0.421,0,1,0.353,100.056,-8.802,0.103,0.0,0.422,1
35,Taylor Swift,Clara Bow,THE TORTURED POETS DEPARTMENT,2024-04-18,85.0,216.662,0,0.686,0.318,7,1,0.214,104.088,-11.046,0.106,0.00144,0.636,1
